st	accession	sp	gn
Elusimicrobium_minutum_Pei191	GCF_000020145.1	Elusimicrobium minutum	Elusimicrobium
Emcibacter_congregatus	GCF_002740695.1	Emcibacter congregatus	Emcibacter
Emergencia_timonensis	GCF_900086585.1	Emergencia timonensis	Emergencia
Empedobacter_brevis_NBRC_14943_=_ATCC_43319	GCF_000382425.1	Empedobacter brevis	Empedobacter
Emticicia_sp._17J42-9	GCF_004168285.1	Emticicia sp.	Emticicia
Endomicrobium_proavitum	GCF_001027545.1	Endomicrobium proavitum	Endomicrobium
endosymbiont_of_Ridgeia_piscesae	GCF_001443675.1	endosymbiont of	endosymbiont
Endozoicomonadaceae_bacterium_GTF-13	GCF_004028165.1	Endozoicomonadaceae bacterium	Endozoicomonadaceae
Endozoicomonas_elysicola	GCF_000710775.1	Endozoicomonas elysicola	Endozoicomonas
Enhydrobacter_aerosaccus	GCF_900167455.1	Enhydrobacter aerosaccus	Enhydrobacter
Enhygromyxa_salina	GCF_002994615.1	Enhygromyxa salina	Enhygromyxa
Enorma_massiliensis_phI	GCF_000311845.1	Enorma massiliensis	Enorma
Ensifer_adhaerens	GCF_000697965.2	Ensifer adhaerens	Ensifer
Enteractinococcus_helveticum	GCF_001657475.1	Enteractinococcus helveticum	Enteractinococcus
Enterobacillus_tribolii	GCF_003363015.1	Enterobacillus tribolii	Enterobacillus
Enterobacter_cloacae_subsp._cloacae_ATCC_13047	GCF_000025565.1	Enterobacter cloacae	Enterobacter
Enterobacterales_bacterium_CwR94	GCF_002837195.1	Enterobacterales bacterium	Enterobacterales
Enterobacteriaceae_bacterium_strain_FGI_57	GCF_000330845.1	Enterobacteriaceae bacterium	Enterobacteriaceae
Enterococcus_massiliensis	GCF_001050095.1	Enterococcus massiliensis	Enterococcus
Enterorhabdus_caecimuris_B7	GCF_000403355.2	Enterorhabdus caecimuris	Enterorhabdus
Enteroscipio_rubneri	GCF_002899715.1	Enteroscipio rubneri	Enteroscipio
Enterovibrio_norvegicus_DSM_15893	GCF_900115495.1	Enterovibrio norvegicus	Enterovibrio
Entomoplasma_luminosum_ATCC_49195	GCF_000526855.1	Entomoplasma luminosum	Entomoplasma
Eoetvoesia_caeni	GCF_003315175.1	Eoetvoesia caeni	Eoetvoesia
Epibacterium_ulvae	GCF_900102795.1	Epibacterium ulvae	Epibacterium
Epsilonproteobacteria_bacterium_SCGC_AD-308-I21	GCF_003201145.1	Epsilonproteobacteria bacterium	Epsilonproteobacteria
Epulopiscium_sp._N.t._morphotype_B	GCF_000171335.1	Epulopiscium sp.	Epulopiscium
Ereboglobus_luteus	GCF_003096195.1	Ereboglobus luteus	Ereboglobus
Eremococcus_coleocola_DSM_15696	GCF_000428865.1	Eremococcus coleocola	Eremococcus
Erwinia_billingiae_Eb661	GCF_000196615.1	Erwinia billingiae	Erwinia
Erwiniaceae_bacterium_IIIF1SW-P2	GCF_003612015.1	Erwiniaceae bacterium	Erwiniaceae
Erysipelatoclostridium_ramosum_DSM_1402	GCF_000154485.1	Erysipelatoclostridium ramosum	Erysipelatoclostridium
Erysipelothrix_larvae	GCF_001545095.1	Erysipelothrix larvae	Erysipelothrix
Erysipelotrichaceae_bacterium_GAM147	GCF_003573995.1	Erysipelotrichaceae bacterium	Erysipelotrichaceae
Erythrobacter_atlanticus	GCF_001077815.2	Erythrobacter atlanticus	Erythrobacter
Erythrobacteraceae_bacterium_SX2RGS8	GCF_003660445.1	Erythrobacteraceae bacterium	Erythrobacteraceae
Escherichia_coli_O157:H7_str._Sakai	GCF_000008865.2	Escherichia coli	Escherichia
Estrella_lausannensis	GCF_900000175.1	Estrella lausannensis	Estrella
Ethanoligenens_harbinense_YUAN-3	GCF_000178115.2	Ethanoligenens harbinense	Ethanoligenens
Eubacteriaceae_bacterium_CHKCI004	GCF_900016875.1	Eubacteriaceae bacterium	Eubacteriaceae
Eubacterium_ramulus_ATCC_29099	GCF_000469345.1	Eubacterium ramulus	Eubacterium
Eudoraea_adriatica_DSM_19308	GCF_000382125.1	Eudoraea adriatica	Eudoraea
Euryhalocaulis_caribicus	GCF_000412185.1	Euryhalocaulis caribicus	Euryhalocaulis
Euzebya_tangerina	GCF_003074135.1	Euzebya tangerina	Euzebya
Euzebyella_marina	GCF_003687485.1	Euzebyella marina	Euzebyella
Ewingella_americana	GCF_900451015.1	Ewingella americana	Ewingella
Exiguobacterium_aurantiacum_DSM_6208	GCF_000702585.1	Exiguobacterium aurantiacum	Exiguobacterium
Extensimonas_vulgaris	GCF_003337425.1	Extensimonas vulgaris	Extensimonas
Ezakiella_massiliensis	GCF_900120165.1	Ezakiella massiliensis	Ezakiella
Fabibacter_misakiensis	GCF_001747105.1	Fabibacter misakiensis	Fabibacter
Facklamia_hominis_CCUG_36813	GCF_000301035.1	Facklamia hominis	Facklamia
Faecalibacterium_prausnitzii_A2-165	GCF_000162015.1	Faecalibacterium prausnitzii	Faecalibacterium
Faecalibaculum_rodentium	GCF_001564455.1	Faecalibaculum rodentium	Faecalibaculum
Faecalicatena_fissicatena	GCF_001028025.1	Faecalicatena fissicatena	Faecalicatena
Faecalicoccus_pleomorphus_DSM_20574	GCF_000420345.1	Faecalicoccus pleomorphus	Faecalicoccus
Faecalimonas_umbilicata	GCF_003402615.1	Faecalimonas umbilicata	Faecalimonas
Faecalitalea_cylindroides_T2-87	GCF_000210615.1	Faecalitalea cylindroides	Faecalitalea
Falsibacillus_pallidus	GCF_003350505.1	Falsibacillus pallidus	Falsibacillus
Falsirhodobacter_deserti	GCF_004015795.1	Falsirhodobacter deserti	Falsirhodobacter
Falsochrobactrum_ovis	GCF_003259955.1	Falsochrobactrum ovis	Falsochrobactrum
Fangia_hongkongensis_FSC776_=_DSM_21703	GCF_000379445.1	Fangia hongkongensis	Fangia
Fastidiosibacter_lacustris	GCF_003428155.1	Fastidiosibacter lacustris	Fastidiosibacter
Fastidiosibacteraceae_bacterium_SYSU_SYW-5	GCF_003574485.1	Fastidiosibacteraceae bacterium	Fastidiosibacteraceae
Fastidiosipila_sanguinis	GCF_002998295.1	Fastidiosipila sanguinis	Fastidiosipila
Fenollaria_timonensis	GCF_001457835.1	Fenollaria timonensis	Fenollaria
Fermentimonas_caenicola	GCF_000953535.1	Fermentimonas caenicola	Fermentimonas
Ferrimicrobium_acidiphilum_DSM_19497	GCF_000745905.1	Ferrimicrobium acidiphilum	Ferrimicrobium
Ferrimonas_senticii_DSM_18821	GCF_000422665.1	Ferrimonas senticii	Ferrimonas
Ferriphaselus_amnicola	GCF_000974685.2	Ferriphaselus amnicola	Ferriphaselus
Ferrithrix_thermotolerans_DSM_19514	GCF_900128965.1	Ferrithrix thermotolerans	Ferrithrix
Ferrovum_myxofaciens	GCF_000735045.1	Ferrovum myxofaciens	Ferrovum
Ferruginibacter_sp._BO-59	GCF_003721595.1	Ferruginibacter sp.	Ferruginibacter
Fervidicella_metallireducens_AeB	GCF_000601455.1	Fervidicella metallireducens	Fervidicella
Fervidicola_ferrireducens	GCF_001562425.1	Fervidicola ferrireducens	Fervidicola
Fervidobacterium_pennivorans_DSM_9078	GCF_000235405.2	Fervidobacterium pennivorans	Fervidobacterium
Fibrella_aestuarina_BUZ_2	GCF_000331105.1	Fibrella aestuarina	Fibrella
Fibrisoma_limi_BUZ_3	GCF_000296815.2	Fibrisoma limi	Fibrisoma
Fibrobacter_intestinalis	GCF_900167415.1	Fibrobacter intestinalis	Fibrobacter
Fictibacillus_phosphorivorans	GCF_001629705.1	Fictibacillus phosphorivorans	Fictibacillus
filamentous_cyanobacterium_ESFC-1	GCF_000380225.1	filamentous cyanobacterium	filamentous
Filibacter_sp._TB-66	GCF_900609045.1	Filibacter sp.	Filibacter
Filifactor_alocis_ATCC_35896	GCF_000163895.2	Filifactor alocis	Filifactor
Filimonas_lacunae	GCF_900156765.1	Filimonas lacunae	Filimonas
Filomicrobium_insigne	GCF_900104305.1	Filomicrobium insigne	Filomicrobium
Fimbriiglobus_ruber	GCF_002197845.1	Fimbriiglobus ruber	Fimbriiglobus
Fimbriimonas_ginsengisoli_Gsoil_348	GCF_000724625.1	Fimbriimonas ginsengisoli	Fimbriimonas
Finegoldia_magna_ATCC_29328	GCF_000010185.1	Finegoldia magna	Finegoldia
Firmicutes_bacterium_ZOR0006	GCF_000798955.1	Firmicutes bacterium	Firmicutes
Fischerella_thermalis_PCC_7521	GCF_000317225.1	Fischerella thermalis	Fischerella
Flagellimonas_flava	GCF_900129665.1	Flagellimonas flava	Flagellimonas
Flammeovirga_pacifica	GCF_000807855.2	Flammeovirga pacifica	Flammeovirga
Flammeovirgaceae_bacterium_311	GCF_000597885.1	Flammeovirgaceae bacterium	Flammeovirgaceae
Flaviflexus_massiliensis	GCF_001375495.1	Flaviflexus massiliensis	Flaviflexus
Flavihumibacter_solisilvae	GCF_000814475.1	Flavihumibacter solisilvae	Flavihumibacter
Flavimaricola_marinus	GCF_900184895.1	Flavimaricola marinus	Flavimaricola
Flavimarina_sp._Hel_I_48	GCF_000733945.1	Flavimarina sp.	Flavimarina
Flavipsychrobacter_stenotrophus	GCF_002954265.1	Flavipsychrobacter stenotrophus	Flavipsychrobacter
Flaviramulus_basaltis	GCF_900114265.1	Flaviramulus basaltis	Flaviramulus
Flavisolibacter_ginsengisoli_DSM_18119	GCF_900129295.1	Flavisolibacter ginsengisoli	Flavisolibacter
Flavivirga_eckloniae	GCF_002886045.1	Flavivirga eckloniae	Flavivirga
Flavobacteria_bacterium_BAL38	GCF_000169355.1	Flavobacteria bacterium	Flavobacteria
Flavobacteriaceae_bacterium_CRH	GCF_001507425.1	Flavobacteriaceae bacterium	Flavobacteriaceae
Flavobacteriales_bacterium_ALC-1	GCF_000171875.1	Flavobacteriales bacterium	Flavobacteriales
Flavobacterium_haoranii	GCF_900142055.1	Flavobacterium haoranii	Flavobacterium
Flavonifractor_plautii	GCF_001688625.2	Flavonifractor plautii	Flavonifractor
Flectobacillus_major_DSM_103	GCF_000427405.1	Flectobacillus major	Flectobacillus
Flexibacter_flexilis_DSM_6793	GCF_900112255.1	Flexibacter flexilis	Flexibacter
Flexilinea_flocculi	GCF_001192795.1	Flexilinea flocculi	Flexilinea
Flexistipes_sinusarabici_DSM_4947	GCF_000218625.1	Flexistipes sinusarabici	Flexistipes
Flexithrix_dorotheae_DSM_6795	GCF_000379765.1	Flexithrix dorotheae	Flexithrix
Flexivirga_sp._BO-16	GCF_003724155.1	Flexivirga sp.	Flexivirga
Floricoccus_penangensis	GCF_001832885.1	Floricoccus penangensis	Floricoccus
Fluoribacter_dumoffii_NY_23	GCF_000236165.1	Fluoribacter dumoffii	Fluoribacter
Fluviicoccus_keumensis	GCF_004217445.1	Fluviicoccus keumensis	Fluviicoccus
Fluviicola_taffensis_DSM_16823	GCF_000194605.1	Fluviicola taffensis	Fluviicola
Fodinicurvata_sediminis_DSM_21159	GCF_000420625.1	Fodinicurvata sediminis	Fodinicurvata
Fontibacillus_panacisegetis	GCF_900102215.1	Fontibacillus panacisegetis	Fontibacillus
Fontimonas_thermophila	GCF_900113085.1	Fontimonas thermophila	Fontimonas
Formivibrio_citricus	GCF_900115065.1	Formivibrio citricus	Formivibrio
Formosa_haliotis	GCF_001685485.1	Formosa haliotis	Formosa
Fortiea_contorta_PCC_7126	GCF_000332295.1	Fortiea contorta	Fortiea
Fournierella_massiliensis	GCF_001486665.1	Fournierella massiliensis	Fournierella
Francisella_persica_ATCC_VR-331	GCF_001653955.1	Francisella persica	Francisella
Francisellaceae_bacterium_SYSU_WZ-2	GCF_003574475.1	Francisellaceae bacterium	Francisellaceae
Franconibacter_pulveris_DSM_19144	GCF_000621185.1	Franconibacter pulveris	Franconibacter
Frankia_symbiont_of_Datisca_glomerata	GCF_000177615.2	Frankia symbiont	Frankia
Frankiales_bacterium_YIM_75000	GCF_003594885.1	Frankiales bacterium	Frankiales
Frankineae_bacterium_MT45	GCF_900100325.1	Frankineae bacterium	Frankineae
Frateuria_aurantia_DSM_6220	GCF_000242255.2	Frateuria aurantia	Frateuria
Frederiksenia_canicola	GCF_003814575.1	Frederiksenia canicola	Frederiksenia
Fremyella_diplosiphon_NIES-3275	GCF_002368275.1	Fremyella diplosiphon	Fremyella
Fretibacterium_sp._OH1220_COT-178	GCF_003860125.1	Fretibacterium sp.	Fretibacterium
Friedmanniella_flava	GCF_900110855.1	Friedmanniella flava	Friedmanniella
Frigoribacterium_sp._JB110	GCF_900163665.1	Frigoribacterium sp.	Frigoribacterium
Frischella_perrara	GCF_000807275.1	Frischella perrara	Frischella
Frondihabitans_australicus	GCF_003634555.1	Frondihabitans australicus	Frondihabitans
Fructobacillus_pseudoficulneus	GCF_900108455.1	Fructobacillus pseudoficulneus	Fructobacillus
Fuerstia_marisgermanicae	GCF_001983935.1	Fuerstia marisgermanicae	Fuerstia
Fulvimarina_manganoxydans	GCF_900176465.1	Fulvimarina manganoxydans	Fulvimarina
Fulvimonas_soli	GCF_003148905.1	Fulvimonas soli	Fulvimonas
Fulvivirga_imtechensis_AK7	GCF_000331535.1	Fulvivirga imtechensis	Fulvivirga
Fusibacter_sp._3D3	GCF_001748365.1	Fusibacter sp.	Fusibacter
Fusicatenibacter_saccharivorans	GCF_001405555.1	Fusicatenibacter saccharivorans	Fusicatenibacter
Fusobacterium_russii_ATCC_25533	GCF_000381725.1	Fusobacterium russii	Fusobacterium
Gabonia_massiliensis	GCF_001403595.1	Gabonia massiliensis	Gabonia
Gabonibacter_massiliensis	GCF_001487125.1	Gabonibacter massiliensis	Gabonibacter
Gaetbulibacter_saemankumensis_DSM_17032	GCF_000425645.1	Gaetbulibacter saemankumensis	Gaetbulibacter
Gaiella_occulta	GCF_003351045.1	Gaiella occulta	Gaiella
Galbibacter_marinus	GCF_000300875.1	Galbibacter marinus	Galbibacter
Gallaecimonas_xiamenensis_3-C-1	GCF_000299915.1	Gallaecimonas xiamenensis	Gallaecimonas
Gallibacterium_anatis_UMN179	GCF_000209675.1	Gallibacterium anatis	Gallibacterium
Gallionella_capsiferriformans_ES-2	GCF_000145255.1	Gallionella capsiferriformans	Gallionella
gamma_proteobacterium_NOR5-3	GCF_000158155.1	gamma proteobacterium	gamma
Gammaproteobacteria_bacterium_2W06	GCF_001715285.2	Gammaproteobacteria bacterium	Gammaproteobacteria
Garciella_nitratireducens_DSM_15102	GCF_900167305.1	Garciella nitratireducens	Garciella
Gardnerella_vaginalis_409-05	GCF_000025205.1	Gardnerella vaginalis	Gardnerella
Gayadomonas_joobiniege_G7	GCF_000300815.1	Gayadomonas joobiniege	Gayadomonas
Geitlerinema_sp._PCC_7105	GCF_000332355.1	Geitlerinema sp.	Geitlerinema
Gelidibacter_mesophilus_DSM_14095	GCF_000423005.1	Gelidibacter mesophilus	Gelidibacter
Gemella_bergeri_ATCC_700627	GCF_000469465.1	Gemella bergeri	Gemella
Geminicoccus_roseus_DSM_18922	GCF_000427665.1	Geminicoccus roseus	Geminicoccus
Geminisphaera_colitermitum_TAV2	GCF_000171235.2	Geminisphaera colitermitum	Geminisphaera
Geminocystis_herdmanii_PCC_6308	GCF_000332235.1	Geminocystis herdmanii	Geminocystis
Gemmata_obscuriglobus_UQM_2246	GCF_000171775.1	Gemmata obscuriglobus	Gemmata
Gemmatimonas_aurantiaca_T-27	GCF_000010305.1	Gemmatimonas aurantiaca	Gemmatimonas
Gemmatirosa_kalamazoonesis	GCF_000522985.1	Gemmatirosa kalamazoonesis	Gemmatirosa
Gemmiger_formicilis	GCF_900167555.1	Gemmiger formicilis	Gemmiger
Gemmobacter_megaterium	GCF_900156815.1	Gemmobacter megaterium	Gemmobacter
Geoalkalibacter_ferrihydriticus_DSM_17813	GCF_000820505.1	Geoalkalibacter ferrihydriticus	Geoalkalibacter
Geobacillus_icigianus	GCF_000750005.1	Geobacillus icigianus	Geobacillus
Geobacter_daltonii_FRC-32	GCF_000022265.1	Geobacter daltonii	Geobacter
Geodermatophilaceae_bacterium_URHA0031	GCF_000620205.1	Geodermatophilaceae bacterium	Geodermatophilaceae
Geodermatophilus_siccatus	GCF_900103785.1	Geodermatophilus siccatus	Geodermatophilus
Geofilum_rubicundum_JCM_15548	GCF_000974365.1	Geofilum rubicundum	Geofilum
Geomicrobium_sp._JCM_19038	GCF_000698125.1	Geomicrobium sp.	Geomicrobium
Geopsychrobacter_electrodiphilus_DSM_16401	GCF_000384395.1	Geopsychrobacter electrodiphilus	Geopsychrobacter
Georgenia_soli	GCF_002563695.1	Georgenia soli	Georgenia
Geosporobacter_ferrireducens	GCF_001750685.1	Geosporobacter ferrireducens	Geosporobacter
Geothermobacter_sp._HR-1	GCF_002898515.1	Geothermobacter sp.	Geothermobacter
Geothrix_fermentans_DSM_14018	GCF_000428885.1	Geothrix fermentans	Geothrix
Geotoga_petraea	GCF_900102615.1	Geotoga petraea	Geotoga
Geovibrio_sp._L21-Ace-BES	GCF_000421105.1	Geovibrio sp.	Geovibrio
Ghiorsea_bivora	GCF_000744415.1	Ghiorsea bivora	Ghiorsea
Gibbsiella_quercinecans	GCF_002291425.1	Gibbsiella quercinecans	Gibbsiella
Giesbergeria_anulus	GCF_900111115.1	Giesbergeria anulus	Giesbergeria
Gilliamella_apicola	GCF_000599985.1	Gilliamella apicola	Gilliamella
Gillisia_limnaea_DSM_15749	GCF_000243235.1	Gillisia limnaea	Gillisia
Gilvibacter_sp._SZ-19	GCF_002163875.1	Gilvibacter sp.	Gilvibacter
Gilvimarinus_agarilyticus	GCF_000832015.1	Gilvimarinus agarilyticus	Gilvimarinus
Gimesia_maris_DSM_8797	GCF_000181475.1	Gimesia maris	Gimesia
Glaciecola_punicea_ACAM_611	GCF_000252165.1	Glaciecola punicea	Glaciecola
Glaciibacter_superstes_DSM_21135	GCF_000421145.1	Glaciibacter superstes	Glaciibacter
Glaciihabitans_tibetensis	GCF_003003265.1	Glaciihabitans tibetensis	Glaciihabitans
Glaciimonas_sp._PCH181	GCF_003056055.1	Glaciimonas sp.	Glaciimonas
Glaesserella_parasuis_SH0165	GCF_000021885.1	Glaesserella parasuis	Glaesserella
Globicatella_sulfidifaciens_DSM_15739	GCF_900167405.1	Globicatella sulfidifaciens	Globicatella
Gloeobacter_kilaueensis_JS1	GCF_000484535.1	Gloeobacter kilaueensis	Gloeobacter
Gloeocapsa_sp._PCC_7428	GCF_000317555.1	Gloeocapsa sp.	Gloeocapsa
Gloeocapsopsis_sp._AAB1_=_1H9	GCF_002964865.1	Gloeocapsopsis sp.	Gloeocapsopsis
Gloeomargarita_lithophora_Alchichica-D10	GCF_001870225.1	Gloeomargarita lithophora	Gloeomargarita
Gluconacetobacter_diazotrophicus_PA1_5	GCF_000021325.1	Gluconacetobacter diazotrophicus	Gluconacetobacter
Gluconobacter_morbifer_G707	GCF_000234355.1	Gluconobacter morbifer	Gluconobacter
Glutamicibacter_arilaitensis_Re117	GCF_000197735.1	Glutamicibacter arilaitensis	Glutamicibacter
Glycocaulis_alkaliphilus	GCF_004000605.1	Glycocaulis alkaliphilus	Glycocaulis
Glycomyces_arizonensis_DSM_44726	GCF_000482705.1	Glycomyces arizonensis	Glycomyces
Gordonia_hydrophobica_NBRC_16057	GCF_001592365.1	Gordonia hydrophobica	Gordonia
Gordonibacter_massiliensis	GCF_900170005.1	Gordonibacter massiliensis	Gordonibacter
Gorillibacterium_massiliense	GCF_000455485.1	Gorillibacterium massiliense	Gorillibacterium
Gottschalkia_acidurici_9a	GCF_000299355.1	Gottschalkia acidurici	Gottschalkia
Gracilibacillus_ureilyticus	GCF_900111195.1	Gracilibacillus ureilyticus	Gracilibacillus
Gracilimonas_tropica_DSM_19535	GCF_000375425.1	Gracilimonas tropica	Gracilimonas
Gramella_flava_JLT2011	GCF_001951155.1	Gramella flava	Gramella
Granulibacter_bethesdensis_CGDNIH1	GCF_000014285.2	Granulibacter bethesdensis	Granulibacter
Granulicatella_elegans_ATCC_700633	GCF_000162475.2	Granulicatella elegans	Granulicatella
Granulicella_rosea	GCF_900188085.1	Granulicella rosea	Granulicella
Granulicoccus_phenolivorans_DSM_17626	GCF_000423085.1	Granulicoccus phenolivorans	Granulicoccus
Granulosicoccus_antarcticus_IMCC3135	GCF_002215215.1	Granulosicoccus antarcticus	Granulosicoccus
Grimontella_sp._AG753	GCF_003201505.1	Grimontella sp.	Grimontella
Grimontia_indica	GCF_000333895.2	Grimontia indica	Grimontia
Gryllotalpicola_ginsengisoli_DSM_22003	GCF_000419445.1	Gryllotalpicola ginsengisoli	Gryllotalpicola
Gulbenkiania_indica	GCF_001418035.1	Gulbenkiania indica	Gulbenkiania
Gulosibacter_molinativorax_DSM_13485	GCF_000425685.1	Gulosibacter molinativorax	Gulosibacter
Guyparkeria_sp._SCN-R1	GCF_003932495.1	Guyparkeria sp.	Guyparkeria
Gynuella_sunshinyii_YC6258	GCF_000940805.1	Gynuella sunshinyii	Gynuella
Haematobacter_massiliensis	GCF_000740795.1	Haematobacter massiliensis	Haematobacter
Haematomicrobium_sanguinis_DSM_21259	GCF_000688395.1	Haematomicrobium sanguinis	Haematomicrobium
Haematospirillum_jordaniae	GCF_001611975.1	Haematospirillum jordaniae	Haematospirillum
Haemophilus_felis	GCF_002015125.1	Haemophilus felis	Haemophilus
Hafnia_alvei	GCF_900451035.1	Hafnia alvei	Hafnia
Hahella_chejuensis_KCTC_2396	GCF_000012985.1	Hahella chejuensis	Hahella
Halalkalibacillus_halophilus_DSM_18494	GCF_000423105.1	Halalkalibacillus halophilus	Halalkalibacillus
Halanaerobium_hydrogeniformans	GCF_000166415.1	Halanaerobium hydrogeniformans	Halanaerobium
Halarsenatibacter_silvermanii	GCF_900103135.1	Halarsenatibacter silvermanii	Halarsenatibacter
Haliangium_sp._UPWRP_2	GCF_002212765.2	Haliangium sp.	Haliangium
Haliea_salexigens_DSM_19537	GCF_000423125.1	Haliea salexigens	Haliea
Halieaceae_bacterium_LZ-16-2	GCF_003719295.1	Halieaceae bacterium	Halieaceae
Halioglobus_japonicus	GCF_001983995.1	Halioglobus japonicus	Halioglobus
Haliscomenobacter_hydrossis_DSM_1100	GCF_000212735.1	Haliscomenobacter hydrossis	Haliscomenobacter
Hallella_seregens_ATCC_51272	GCF_000518545.1	Hallella seregens	Hallella
Haloactinopolyspora_alba	GCF_004138525.1	Haloactinopolyspora alba	Haloactinopolyspora
Haloarcobacter_mediterraneus	GCF_004116625.1	Haloarcobacter mediterraneus	Haloarcobacter
Halobacillus_salinus	GCF_900166575.1	Halobacillus salinus	Halobacillus
Halobacteriovorax_marinus_SJ	GCF_000210915.2	Halobacteriovorax marinus	Halobacteriovorax
Halobacteroides_halobius_DSM_5150	GCF_000328625.1	Halobacteroides halobius	Halobacteroides
Halocella_sp._SP3-1	GCF_003953885.1	Halocella sp.	Halocella
Halocynthiibacter_arcticus	GCF_000812665.2	Halocynthiibacter arcticus	Halocynthiibacter
Halodesulfovibrio_marinisediminis_DSM_17456	GCF_900129975.1	Halodesulfovibrio marinisediminis	Halodesulfovibrio
Haloechinothrix_alba	GCF_900188115.1	Haloechinothrix alba	Haloechinothrix
Haloferula_sp._BvORR071	GCF_000739615.1	Haloferula sp.	Haloferula
Halofilum_ochraceum	GCF_001614315.2	Halofilum ochraceum	Halofilum
Haloglycomyces_albus_DSM_45210	GCF_000527155.1	Haloglycomyces albus	Haloglycomyces
Halolactibacillus_miurensis	GCF_900116255.1	Halolactibacillus miurensis	Halolactibacillus
Halomicronema_hongdechloris_C2206	GCF_002075285.2	Halomicronema hongdechloris	Halomicronema
Halomonadaceae_bacterium_R4HLG17	GCF_003012345.1	Halomonadaceae bacterium	Halomonadaceae
Halomonas_pantelleriensis	GCF_900102875.1	Halomonas pantelleriensis	Halomonas
Halonatronum_saccharophilum_DSM_13868	GCF_000517025.1	Halonatronum saccharophilum	Halonatronum
Halopeptonella_vilamensis	GCF_004217415.1	Halopeptonella vilamensis	Halopeptonella
Haloplasma_contractile_SSD-17B	GCF_000215935.2	Haloplasma contractile	Haloplasma
Halopolyspora_algeriensis	GCF_003337235.1	Halopolyspora algeriensis	Halopolyspora
Halorhodospira_halophila_SL1	GCF_000015585.1	Halorhodospira halophila	Halorhodospira
Halotalea_alkalilenta	GCF_001648175.1	Halotalea alkalilenta	Halotalea
